fast_period,slow_period,min_delta_pct,cooldown,final_balance,pnl_cash,roi_pct,num_trades,win_rate_pct,avg_win,avg_loss,profit_factor,max_drawdown_pct
30,150,0.0,15,1019.71,19.71,1.97,8,50.0,6.21,-1.71,3.63,0.7
10,100,0.0,15,1016.06,16.06,1.61,15,33.33,5.81,-1.37,2.12,0.11
30,100,0.0,15,1015.83,15.83,1.58,12,58.33,3.91,-2.42,2.26,0.16
20,80,0.0,15,1015.74,15.74,1.57,14,42.86,4.53,-1.56,2.18,0.11
15,80,0.0,15,1014.08,14.08,1.41,16,43.75,4.3,-1.8,1.86,0.11
10,100,0.0,5,1013.48,13.48,1.35,19,31.58,4.85,-1.15,1.95,0.11
30,200,0.0,15,1011.4,11.4,1.14,10,30.0,7.82,-1.92,1.75,0.28
15,100,0.0,15,1011.35,11.35,1.14,13,30.77,5.8,-1.44,1.79,0.31
20,100,0.0,15,1009.22,9.22,0.92,12,25.0,7.9,-1.68,1.57,0.11
30,80,0.0,15,1009.08,9.08,0.91,15,33.33,5.0,-1.66,1.51,0.11
5,100,0.0,15,1008.83,8.83,0.88,13,38.46,5.6,-2.54,1.38,0.11
30,100,0.0,5,1008.67,8.67,0.87,16,37.5,4.4,-1.69,1.56,0.16
30,200,0.0,5,1007.73,7.73,0.77,12,25.0,7.7,-1.78,1.44,0.28
10,80,0.0,15,1007.41,7.41,0.74,17,35.29,5.29,-1.46,1.98,0.62
5,150,0.0,5,1006.42,6.42,0.64,20,20.0,6.52,-1.11,1.47,0.83
20,200,0.0,5,1006.07,6.07,0.61,14,21.43,7.06,-1.4,1.38,0.51
15,100,0.0,5,1004.89,4.89,0.49,19,26.32,4.76,-1.28,1.33,0.31
20,100,0.0,5,1003.95,3.95,0.39,18,22.22,6.53,-1.48,1.26,0.11
5,60,0.0,15,1003.78,3.78,0.38,29,41.38,3.39,-1.67,1.44,0.65
30,150,0.0,5,1003.72,3.72,0.37,14,21.43,8.1,-1.83,1.21,0.7
15,80,0.0,5,1003.7,3.7,0.37,22,31.82,4.27,-1.64,1.22,0.11
20,80,0.0,5,1003.19,3.19,0.32,20,30.0,4.34,-1.48,1.26,0.21
5,100,0.0,5,1002.99,2.99,0.3,20,30.0,5.47,-1.18,1.99,1.11
5,200,0.0,5,1001.38,1.38,0.14,18,16.67,7.76,-1.32,1.18,0.9
5,150,0.0005,5,1000.81,0.81,0.08,0,0.0,0.0,0.0,0.0,0.6
5,150,0.0005,15,1000.81,0.81,0.08,0,0.0,0.0,0.0,0.0,0.6
5,60,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20,60,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20,60,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,80,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20,60,0.0005,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20,60,0.0005,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
30,100,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
30,100,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
10,200,0.0005,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,200,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
10,200,0.0005,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,200,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,60,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
10,200,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
10,200,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,20,0.0005,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,20,0.0005,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,20,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,20,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,40,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,40,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
30,100,0.0005,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20,80,0.0005,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
10,60,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
30,80,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,40,0.0005,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,40,0.0005,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,40,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,40,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
30,80,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,60,0.0005,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,150,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,60,0.0005,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
10,40,0.0005,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
10,40,0.0005,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
10,40,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
10,40,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
10,60,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,150,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,150,0.0005,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20,80,0.0005,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
30,60,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20,80,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20,80,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,80,0.0005,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
30,100,0.0005,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
30,60,0.0005,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
30,60,0.0005,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
30,60,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,150,0.0005,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
30,80,0.0005,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
30,80,0.0005,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,100,0.0005,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,100,0.0005,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,100,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,100,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,80,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20,150,0.0005,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,80,0.0005,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20,200,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,80,0.0005,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,80,0.0005,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,200,0.0005,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,200,0.0005,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
10,80,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,150,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,150,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
10,80,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20,40,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20,40,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20,40,0.0005,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20,40,0.0005,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
10,100,0.0005,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
10,100,0.0005,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20,200,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,80,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20,200,0.0005,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20,200,0.0005,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,20,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20,150,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20,150,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
30,40,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
30,40,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
30,40,0.0005,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
30,40,0.0005,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,20,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,200,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,200,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,200,0.0005,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,200,0.0005,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,60,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,80,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,100,0.0005,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
30,150,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
15,60,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
10,60,0.0005,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20,150,0.0005,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
10,20,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
10,20,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20,100,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20,100,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20,100,0.0005,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20,100,0.0005,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
30,200,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
30,200,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
30,200,0.0005,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
30,200,0.0005,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,100,0.0005,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
30,150,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
30,150,0.0005,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
10,80,0.0005,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,100,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,100,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
10,100,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
10,100,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
10,80,0.0005,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
30,150,0.0005,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
10,60,0.0005,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
10,150,0.0005,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
10,150,0.0005,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
10,150,0.001,5,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
10,150,0.001,15,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
30,80,0.0,5,999.77,-0.23,-0.02,21,28.57,4.4,-1.62,1.08,0.38
10,20,0.0005,15,999.5,-0.5,-0.05,0,0.0,0.0,0.0,0.0,0.91
10,20,0.0005,5,999.5,-0.5,-0.05,0,0.0,0.0,0.0,0.0,0.91
15,150,0.0,5,999.04,-0.96,-0.1,18,16.67,7.87,-1.54,1.02,0.61
10,80,0.0,5,997.41,-2.59,-0.26,23,26.09,5.21,-1.38,1.33,0.62
5,40,0.0005,5,997.11,-2.89,-0.29,2,0.0,0.0,-2.9,0.0,1.26
5,40,0.0005,15,997.11,-2.89,-0.29,2,0.0,0.0,-2.9,0.0,1.26
5,40,0.0,15,996.76,-3.24,-0.32,27,44.44,2.4,-1.57,1.22,0.91
15,60,0.0,15,994.96,-5.04,-0.5,23,34.78,4.07,-1.95,1.12,0.93
5,60,0.0005,5,994.89,-5.11,-0.51,0,0.0,0.0,0.0,0.0,0.61
5,60,0.0005,15,994.89,-5.11,-0.51,0,0.0,0.0,0.0,0.0,0.61
5,20,0.0005,5,994.7,-5.3,-0.53,0,0.0,0.0,0.0,0.0,0.91
5,20,0.0005,15,994.7,-5.3,-0.53,0,0.0,0.0,0.0,0.0,0.91
10,200,0.0,5,994.66,-5.34,-0.53,16,18.75,6.55,-1.8,0.84,1.34
20,150,0.0,5,992.57,-7.43,-0.74,18,16.67,7.52,-1.88,0.8,1.21
15,200,0.0,5,992.09,-7.91,-0.79,16,18.75,6.0,-1.87,0.74,1.54
10,150,0.0,5,992.02,-7.98,-0.8,20,25.0,4.82,-2.05,0.79,1.51
15,40,0.0,15,991.16,-8.84,-0.88,29,34.48,3.95,-1.99,1.05,1.08
10,40,0.0,15,991.13,-8.87,-0.89,27,33.33,3.33,-1.66,1.0,1.09
20,60,0.0,15,988.73,-11.27,-1.13,23,30.43,3.89,-1.95,0.87,1.31
15,60,0.0,5,987.61,-12.39,-1.24,29,27.59,3.94,-1.59,0.94,1.3
10,60,0.0,5,986.85,-13.15,-1.31,31,22.58,5.34,-1.68,0.93,1.41
30,40,0.0,15,984.39,-15.61,-1.56,29,44.83,2.56,-2.51,0.83,1.63
20,40,0.0,15,984.15,-15.85,-1.59,29,34.48,2.89,-1.87,0.82,1.78
10,60,0.0,15,983.86,-16.14,-1.61,22,22.73,5.13,-1.83,0.82,1.7
20,40,0.0,5,983.1,-16.9,-1.69,33,39.39,2.41,-1.88,0.84,1.89
5,20,0.0,15,982.47,-17.53,-1.75,31,54.84,1.6,-2.33,0.83,2.42
5,80,0.0,15,982.24,-17.76,-1.78,17,23.53,5.22,-2.27,0.71,1.92
30,60,0.0,5,981.5,-18.5,-1.85,29,24.14,4.52,-1.86,0.77,1.94
20,60,0.0,5,981.38,-18.62,-1.86,29,31.03,3.12,-1.87,0.75,2.05
5,60,0.0,5,980.72,-19.28,-1.93,33,30.3,3.21,-1.8,0.78,2.5
30,60,0.0,15,980.02,-19.98,-2.0,27,22.22,5.02,-1.98,0.73,2.09
5,40,0.0,5,979.5,-20.5,-2.05,41,39.02,2.29,-1.75,0.84,2.76
30,40,0.0,5,979.43,-20.57,-2.06,39,38.46,2.48,-1.9,0.82,2.29
15,20,0.0,15,977.53,-22.47,-2.25,29,58.62,1.54,-3.15,0.69,3.03
